id_number,name,obf_email,classes,covid
201946,Gabrielle Sioco,gabrielle.sioco@obf.ateneo.edu,"X7,Y3,E7",no
202869,Sabrina Sy,sabrina.sy@obf.ateneo.edu,"B1,C1,J7",no
204995,Martine Uysipuo,martine.uysipuo@obf.ateneo.edu,"C1,F4,I3",no
203897,Raelyn Go,raelyn.go@obf.ateneo.edu,"F3,H8,J7",no
202114,Enrique Santos,enrique.santos@obf.ateneo.edu,"U5,C6,F3",no
204966,Brice Dyer,brice.dyer@obf.ateneo.edu,"D6,U5,D5",no
209818,Savannah Cannon,savannah.cannon@obf.ateneo.edu,"F4,T6,E7",no
203383,Jorden Livingston,jorden.livingston@obf.ateneo.edu,"A9,D6,I2",no
206410,Rebecca Young,rebecca.young@obf.ateneo.edu,"A9,V1,X7",no
208335,Harper Franco,harper.franco@obf.ateneo.edu,"H6,M6,N1",no
200594,Zachariah Tate,zachariah.tate@obf.ateneo.edu,"B1,C1,Z5",no
201168,Justus Mckay,justus.mckay@obf.ateneo.edu,"B1,L2,Y3",no
206810,Mariana Atkins,mariana.atkins@obf.ateneo.edu,"D6,S4,I3",no
202259,Zackary Mills,zackary.mills@obf.ateneo.edu,"A9,G7,U5",no
204419,Pranav Lloyd,pranav.lloyd@obf.ateneo.edu,"R3,V1,W9",no
206934,Gina Hester,gina.hester@obf.ateneo.edu,"I2,Q2,J7",no
206544,Lilianna Shepard,lilianna.shepard@obf.ateneo.edu,"Z5,M6,N1",no
202150,Javon Santana,javon.santana@obf.ateneo.edu,"A9,L2,T6",no
208744,Julia Hubbard,julia.hubbard@obf.ateneo.edu,"N6,O2,N1",no
205364,Conrad Griffin,conrad.griffin@obf.ateneo.edu,"Z5,A3,L5",no
203875,Hannah Cross,hannah.cross@obf.ateneo.edu,"B1,D6,H6",no
203068,Khloe Mata,khloe.mata@obf.ateneo.edu,"R3,I3,N1",no
208733,Rudy Dickson,rudy.dickson@obf.ateneo.edu,"N6,W9,B9",no
206094,Kenna Hinton,kenna.hinton@obf.ateneo.edu,"G7,I2,Z5",no
209307,Aylin Manning,aylin.manning@obf.ateneo.edu,"O2,B9,J7",no
203222,Jillian Jennings,jillian.jennings@obf.ateneo.edu,"A3,L5,N1",no
203763,Jair Yu,jair.yu@obf.ateneo.edu,"C1,C6,M6",no
201421,Triston Dougherty,triston.dougherty@obf.ateneo.edu,"E1,J7,J7",no
207330,Tristian Petersen,tristian.petersen@obf.ateneo.edu,"L2,R3,D5",no
206693,Jazlene Travis,jazlene.travis@obf.ateneo.edu,"D6,H6,A3",no
207999,Ellie Chavez,ellie.chavez@obf.ateneo.edu,"A9,C1,F4",no
201907,Duncan Vasquez,duncan.vasquez@obf.ateneo.edu,"A3,K1,M6",no
200918,Immanuel Lutz,immanuel.lutz@obf.ateneo.edu,"A9,B1,A3",no
209009,Danna Townsend,danna.townsend@obf.ateneo.edu,"O2,R3,N1",no
207172,Sherlyn Wheeler,sherlyn.wheeler@obf.ateneo.edu,"J7,U5,Y3",no
200745,Conrad Trevino,conrad.trevino@obf.ateneo.edu,"U5,C6,N1",no
206792,Carter Gomez,carter.gomez@obf.ateneo.edu,"D6,Y3,N1",no
208729,Marissa Thornton,marissa.thornton@obf.ateneo.edu,"J7,K1,M6",no
208705,Cedric Bullock,cedric.bullock@obf.ateneo.edu,"V1,Y3,A3",no
208749,Cade Grimes,cade.grimes@obf.ateneo.edu,"F4,K7,C6",no
202148,Lyla Donaldson,lyla.donaldson@obf.ateneo.edu,"I3,M6,N1",no
203209,Rigoberto Moyer,rigoberto.moyer@obf.ateneo.edu,"C1,M6,M6",no
205154,Ivan Benson,ivan.benson@obf.ateneo.edu,"G7,M6,I3",no
203210,Dexter Bryant,dexter.bryant@obf.ateneo.edu,"Z5,D5,N1",no
209050,Raiden Evans,raiden.evans@obf.ateneo.edu,"O2,Q2,V1",no
206908,Trent Graham,trent.graham@obf.ateneo.edu,"X7,C6,D5",no
201552,Omar Mcconnell,omar.mcconnell@obf.ateneo.edu,"X7,D5,K1",no
205459,Shelby Santana,shelby.santana@obf.ateneo.edu,"Q2,I3,M6",no
200940,Malcolm Christian,malcolm.christian@obf.ateneo.edu,"X7,D5,N1",no
206173,Johanna May,johanna.may@obf.ateneo.edu,"A9,J7,O2",no
205715,Jorge Arroyo,jorge.arroyo@obf.ateneo.edu,"I2,J7,I3",no
203997,Javier Gonzalez,javier.gonzalez@obf.ateneo.edu,"F4,O2,D5",no
206841,Henry Rush,henry.rush@obf.ateneo.edu,"H8,I3,M6",no
205313,Yoselin Jordan,yoselin.jordan@obf.ateneo.edu,"J7,K7,A3",no
206801,Milagros Glass,milagros.glass@obf.ateneo.edu,"W9,C6,M6",no
202272,Denzel Contreras,denzel.contreras@obf.ateneo.edu,"A9,B1,E1",no
202748,Grayson Joyce,grayson.joyce@obf.ateneo.edu,"B1,F4,K1",no
204949,Ace Thompson,ace.thompson@obf.ateneo.edu,"D5,M6,N1",no
201514,Maximo Garrett,maximo.garrett@obf.ateneo.edu,"A9,B1,J7",no
202817,Jaylene Randall,jaylene.randall@obf.ateneo.edu,"G7,J7,M6",no
206434,Aldo Khan,aldo.khan@obf.ateneo.edu,"E1,O2,T6",no
205111,Tianna Mack,tianna.mack@obf.ateneo.edu,"C1,K1,N1",no
209209,Kamora Vargas,kamora.vargas@obf.ateneo.edu,"B1,W9,M6",no
202335,Ella Serrano,ella.serrano@obf.ateneo.edu,"A9,F4,W9",no
201402,Quinn Lucero,quinn.lucero@obf.ateneo.edu,"C1,I3,N1",no
202381,Nigel Molina,nigel.molina@obf.ateneo.edu,"B1,E7,K1",no
206849,Rory Nguyen,rory.nguyen@obf.ateneo.edu,"A9,B1,H6",no
205542,Marin Mcpherson,marin.mcpherson@obf.ateneo.edu,"D6,U5,Y3",no
208135,Howard Montoya,howard.montoya@obf.ateneo.edu,"D6,H6,I2",no
202482,Alan Wells,alan.wells@obf.ateneo.edu,"D6,E1,S4",no
202305,Cedric Jennings,cedric.jennings@obf.ateneo.edu,"I2,O2,L5",no
209099,Yusuf Kirby,yusuf.kirby@obf.ateneo.edu,"F4,H6,L5",no
205884,Annabel Fry,annabel.fry@obf.ateneo.edu,"A9,M6,X7",no
207158,Karma Tran,karma.tran@obf.ateneo.edu,"H8,L5,N1",no
209767,Cora Howe,cora.howe@obf.ateneo.edu,"S4,I3,J7",no
200803,Aydin Conway,aydin.conway@obf.ateneo.edu,"E1,F4,G7",no
206291,Maxwell Mendez,maxwell.mendez@obf.ateneo.edu,"L2,O2,A3",no
206911,Athena Odom,athena.odom@obf.ateneo.edu,"A9,J7,Q2",no
204210,Heidi Schmitt,heidi.schmitt@obf.ateneo.edu,"A9,I3,J7",no
203370,Noelle Ramirez,noelle.ramirez@obf.ateneo.edu,"L2,Y3,Z5",no
200853,Rashad Holder,rashad.holder@obf.ateneo.edu,"G7,H6,I2",no
209257,Parker Merritt,parker.merritt@obf.ateneo.edu,"W9,F3,I3",no
202779,Pierce Chambers,pierce.chambers@obf.ateneo.edu,"L2,T6,K1",no
206574,Abram Vaughn,abram.vaughn@obf.ateneo.edu,"J7,L2,F3",no
207920,Brittany Le,brittany.le@obf.ateneo.edu,"G7,I2,W9",no
